number of items,linear search,binary search,recursive search,creation time,sort time
1000,92420,2545,3805,942300,1129300
2000,49750,5355,2055,112600,917900
3000,29325,2830,1345,181100,1340600
4000,44195,2315,1350,172200,623400
5000,93910,1555,1540,197300,930000
6000,99620,1470,1565,237900,794200
7000,123510,1455,2060,280800,961600
8000,171435,1860,1900,303000,1207700
9000,177480,2210,2015,683800,1433500
10000,152260,1525,1500,661200,2110200
11000,205715,1670,1665,795400,2896900
12000,252230,2070,1890,507800,2055300
13000,278990,1925,1945,444100,2455600
14000,289680,2515,1760,430300,2070800
15000,23440,1440,1505,589700,1536000
16000,26480,1405,1050,488600,1427500
17000,36240,2740,800,475600,1513600
18000,31475,1865,815,693000,2040100
19000,31855,1470,800,614400,1706500
20000,30995,1535,1585,688700,1826900
21000,29145,1465,860,603700,2071800
22000,30175,1575,955,602800,2764000
23000,29225,1940,795,646000,2027600
24000,31410,800,840,647700,2011700
25000,34840,745,885,761700,2252000
26000,39165,755,780,705900,2786500
27000,36930,745,805,713500,2486600
28000,39460,770,830,731700,2501000
29000,42395,785,810,841200,2592000
30000,43345,795,855,785000,3031500
31000,42775,780,835,859100,2955300
32000,43380,800,880,870600,3101700
33000,39520,1080,860,920900,3010300
34000,43615,1150,900,937000,3161700
35000,59605,940,965,995800,3705700
36000,52285,840,935,976200,3577600
37000,55125,1210,885,1020100,2092300
38000,55280,875,855,1067200,2243600
39000,56475,840,840,1049300,2112200
40000,54420,840,875,1086100,2264300
41000,55780,820,790,1073500,2227600
42000,49045,830,850,1407100,2497400
43000,60475,840,845,1127200,2340800
44000,57795,865,825,1200000,2452000
45000,57605,900,870,1243800,2548800
46000,63905,865,860,1380000,2643900
47000,59045,855,860,1327000,2577900
48000,62265,835,805,1259300,2535400
49000,65505,760,815,1212500,2586000
50000,74965,860,1495,1235400,2778600
51000,57700,830,855,1442600,2694400
52000,62330,860,800,1372300,2725100
53000,63010,805,880,1395600,2845300
54000,71350,955,915,1545700,3278300
55000,70800,830,915,1486300,3871600
56000,69015,870,855,1452500,2945200
57000,73700,820,790,1415300,3000500
58000,81830,965,890,1563200,3142300
59000,100440,1195,2490,1583500,3840900
60000,124715,1870,1160,1584700,3342500
61000,88895,915,955,2237500,3791000
62000,84770,885,845,1806800,3504700
63000,81730,815,830,1562100,3324200
64000,75565,875,840,1618800,3853400
65000,81070,895,900,1621000,3849800
66000,71200,865,845,1668300,3498800
67000,99555,880,1550,1687900,4114700
68000,71875,865,860,1710700,3623400
69000,97815,1545,880,1746300,3734000
70000,83200,835,785,1773600,3722500
71000,83910,885,860,1792900,3856400
72000,82740,850,1160,1893200,3801100
73000,95100,940,855,1819000,4560400
74000,96390,875,900,1936200,4043200
75000,93205,890,830,1861200,4048400
76000,100895,935,905,3022700,4688800
77000,108555,985,945,1912300,4548100
78000,98005,975,945,2392700,4848100
79000,94580,1185,910,2141100,4585600
80000,105490,870,1230,1985600,4787000
81000,107970,895,850,2013900,4692000
82000,127075,940,1605,2032200,4616400
83000,125130,955,1230,2463400,4958600
84000,107715,955,835,2493300,4797600
85000,115990,920,850,2106400,4625800
86000,123115,970,950,2129900,5002700
87000,116045,935,1550,2372100,5124100
88000,100880,910,910,2187100,4781700
89000,143335,1015,2330,2243100,5011400
90000,111425,1210,905,2242100,5028600
91000,119360,945,905,2544700,5042100
92000,128650,950,1235,2322300,5067300
93000,115275,955,890,2343600,5112400
94000,140845,995,925,2355300,5306800
95000,175170,1030,1900,2381000,5282600
96000,132135,1330,970,3581500,5462600
97000,127410,965,895,2661600,5649900
98000,149460,1035,1910,2455300,5966900
99000,120725,2325,970,2948900,7280300
100000,135450,1035,1010,2592200,5867800
101000,119155,970,905,3052700,5956600
102000,123300,915,880,2598800,6201100
103000,149235,980,965,2553300,5855900
104000,142525,945,900,2768600,5837200
105000,138675,885,825,2607600,5981400
106000,134480,820,735,2623000,5914700
107000,137920,785,710,2654200,5853600
108000,136755,795,685,2791600,6102300
109000,212820,865,2385,2720300,6604500
110000,125865,790,760,3282700,6624900
111000,149135,780,695,2781800,6159900
112000,142035,805,680,2999700,6546500
113000,168565,835,730,2963800,6437400
114000,139025,780,720,2818600,6675000
115000,132205,790,720,2852600,6618700
116000,155680,820,760,2875500,6463700
117000,147400,795,745,2899000,6496400
118000,142240,790,705,3043100,6608000
119000,151965,815,715,2946800,6769600
120000,147630,775,705,2967800,6911700
121000,173485,850,775,3003700,6810700
122000,196035,900,825,11018400,26564100
123000,188795,860,795,3972700,10343200
124000,176455,910,955,3403700,7658500
125000,316790,800,765,6869500,7604300
126000,173280,835,750,3133500,10012300
127000,164985,805,820,3050000,7596700
128000,283360,2030,1610,3418300,10940500
129000,179555,895,815,3475700,9494200
130000,175495,855,1110,3294000,7985600
131000,231255,935,890,5773600,8999700
132000,173045,910,880,3901000,8590900
133000,175225,840,755,3246700,7902800
134000,158865,850,785,3464100,7828500
135000,176015,890,800,3348100,7792400
136000,182010,790,740,3255800,7730200
137000,174645,800,735,3246500,7804100
138000,164665,1160,740,3150400,8902900
139000,180775,805,745,3170400,8193200
140000,187795,770,760,3188000,8044300
141000,172925,775,780,3203400,8229500
142000,187465,885,800,3216200,8335000
143000,172020,800,740,3265700,8171500
144000,178885,825,745,3248400,8527200
145000,182815,815,720,3266100,8465800
146000,193930,1145,720,3286000,9476800
147000,173950,795,770,3309100,8488800
148000,190420,1175,760,3319000,8625300
149000,223825,870,790,3332400,8683900
150000,181130,840,775,3344900,8629600
151000,209835,870,725,3361200,8966400
152000,188430,820,750,3381400,9226800
153000,210900,805,810,3470700,8802400
154000,197535,765,775,3463100,8704200
155000,205380,840,775,5696100,8948600
156000,204315,830,790,3450700,8952500
157000,203660,845,760,3464000,9144700
158000,251370,2910,855,3476600,9299500
159000,260290,985,815,3699400,11197100
160000,193475,1005,795,4429900,12651800
161000,275290,990,845,4376800,11806700
162000,219110,890,790,4231200,11324300
163000,275865,1010,830,3796000,10167600
164000,284920,1050,880,3904500,11801100
165000,247155,1000,880,4179200,12467400
166000,263050,935,875,3970800,10782300
167000,337665,1660,920,4369100,11079000
168000,258545,935,825,4246600,12014700
169000,306645,1000,880,5087900,12413300
170000,344350,1335,1120,4544300,12586300
171000,288305,925,885,4387600,12277200
172000,261585,975,880,3991600,11593400
173000,198375,850,775,3991600,10166300
174000,211270,930,820,3947800,10109200
175000,242995,825,770,3956000,10359900
176000,208645,845,780,4022300,10452700
177000,247980,910,815,3893800,10761000
178000,222830,855,780,3912800,10254300
179000,219010,845,760,4052900,11254300
180000,218100,875,765,3956400,10686400
181000,276120,960,785,3971500,10853600
182000,221140,905,725,4000700,10890400
183000,284280,890,1730,6194000,10841100
184000,243005,830,710,4413800,10742700
185000,230820,850,775,4059200,10767900
186000,239000,875,835,4087200,11273100
187000,273335,1795,785,4201400,10949900
188000,205140,795,735,4305100,11426900
189000,238700,880,760,4153100,11225400
190000,270460,855,775,4296300,11108500
191000,256935,880,795,4200400,11550700
192000,263795,1145,840,4224600,11346300
193000,243355,865,730,4480400,11646400
194000,263130,1155,760,4265100,11358800
195000,259635,890,785,4281800,11724800
196000,262025,910,785,4432100,11744700
197000,242800,890,845,4332300,11837200
198000,253680,905,765,4524200,11945600
199000,246630,865,740,4496700,11539700
200000,255900,1170,800,4394500,11988800
201000,306805,1230,800,4417400,11863000
202000,250065,865,770,4445700,11907800
203000,291190,880,800,4699900,11964200
204000,258340,890,820,4604400,11939800
205000,251875,860,845,4513900,12027800
206000,268235,2095,785,4535400,12442800
207000,236215,860,805,4557400,12698800
208000,243585,1235,740,4569200,12678400
209000,261355,885,790,4750400,12544600
210000,252915,895,785,4615100,12449800
211000,323195,905,815,6938300,12776900
212000,330500,895,795,4779000,13065000
213000,323460,900,800,4799700,13059800
214000,323210,925,760,4700300,13051400
215000,325630,905,830,4732900,12957800
216000,339735,900,825,4792000,13007400
217000,277895,1015,800,5287900,13889000
