number of items,linear search,binary search,recursive search,creation time,sort time
1000,62050,2480,2995,877800,848300
2000,39435,3725,1420,105000,726400
3000,26115,2605,1260,257500,1186700
4000,72775,1410,1490,191600,821300
5000,31675,1390,1435,307400,937400
6000,7700,1335,1415,287900,791300
7000,14585,2240,2875,502600,1116300
8000,12030,1330,1415,410600,1074000
9000,14800,1485,1635,390900,1239900
10000,13560,1385,1845,403300,1456600
11000,19455,1435,1610,677400,2017200
12000,28155,1560,2485,499000,1840900
13000,17420,1455,1510,409200,1695600
14000,26880,2600,1650,404800,2089300
15000,24270,1635,3600,466300,1979000
16000,32030,2160,2440,463200,2743000
17000,33925,1795,2680,707200,4196800
18000,32635,2435,2615,1086800,3380100
19000,28335,1485,1555,588900,4417500
20000,34075,1690,1725,626100,3875900
21000,37115,1830,1840,667200,4706300
22000,42360,1670,1775,691000,5722600
23000,43935,3090,1660,837400,4919300
24000,38965,875,1395,683700,4354900
25000,39545,845,1010,911100,5636700
26000,35650,860,885,904700,4536100
27000,35750,830,840,812500,4486000
28000,42520,795,875,803900,4565000
29000,42350,795,850,817000,2773800
30000,43395,810,870,833900,2833100
31000,42530,1190,865,868100,2996700
32000,43810,850,865,893300,1785800
33000,45055,820,890,913100,1868300
34000,43880,1175,865,941900,1919300
35000,45750,855,875,973300,2064000
36000,49890,810,855,996200,2058900
37000,50455,840,885,1028800,2147100
38000,51505,835,875,994700,2064900
39000,49390,820,905,1096300,2137700
40000,61700,845,910,1050400,2244200
41000,54380,840,865,1075600,2281500
42000,67280,1625,975,1098800,3216900
43000,59480,1155,830,1476400,2364400
44000,54250,855,890,1192300,2470700
45000,58570,835,935,1189000,2607800
46000,71380,950,975,1269300,2632300
47000,70305,835,890,1900200,2714100
48000,54810,850,855,1359100,3077000
49000,64795,1190,870,1231700,2625900
50000,60960,880,885,1522000,2825100
51000,71970,1200,880,1373200,3815900
52000,70315,895,875,1631000,3233100
53000,66660,830,800,1567800,2820700
54000,75065,1705,845,1351600,2878200
55000,112240,1720,1150,1711400,3285200
56000,73755,900,910,1575200,3769700
57000,73595,865,935,1739900,3415200
58000,76380,885,920,1534800,3294900
59000,82775,870,820,1768800,3601000
60000,79395,1210,925,1652200,4151200
61000,91450,965,950,1636100,3544800
62000,86915,915,895,1633500,3641100
63000,77155,1195,910,1759400,3611600
64000,80940,870,890,1958600,3650100
65000,72030,835,810,1613700,3538400
66000,77350,930,860,1649000,4063000
67000,84650,930,865,1668400,3709400
68000,84595,920,890,1686000,3898500
69000,91620,910,835,1714900,3822200
70000,95365,915,920,2151200,4546100
71000,81765,905,820,1934500,4200700
72000,92235,840,875,1789100,4747500
73000,90210,885,880,1813000,3997800
74000,95360,895,840,1833700,4110500
75000,94795,875,865,1860500,4093000
76000,109405,1885,1565,1885000,4946700
77000,90885,875,865,2049600,4295100
78000,100100,1250,890,2037000,4279000
79000,97720,900,875,2076000,4285100
80000,103395,910,870,2467700,4446800
81000,117005,975,935,2038800,4357000
82000,112460,1745,1000,2540100,5279100
83000,175730,1360,1290,2419200,7012700
84000,151365,1200,1325,2316300,5754500
85000,117040,1060,1040,2560300,6580500
86000,125115,1055,1000,2337800,6787800
87000,148845,1740,1015,2977600,5962200
88000,129910,1060,995,2818900,5905100
89000,134535,1025,975,2703300,5502100
90000,141515,1000,945,2384100,5566400
91000,128765,1035,1015,2841200,6484900
92000,160710,1740,895,2452400,6643400
93000,142060,1385,1890,2715300,6126500
94000,208850,1625,1535,3036800,6761300
95000,173210,1520,1495,2831100,8382400
96000,165240,1190,1570,3039100,8792700
97000,166735,1610,1110,2816500,6122600
98000,172740,1200,1070,2815500,6647300
99000,146280,1920,1045,2876700,6568700
100000,180750,1210,1075,2937300,6628300
101000,288605,1850,1600,3154500,8353900
102000,355710,1145,1000,3232000,8565900
103000,245800,1465,1335,7658000,16393800
104000,256300,2320,1680,6685400,9360100
105000,182330,1125,965,3054300,7060400
106000,190940,1145,895,3028700,7352200
107000,159690,890,835,3164900,6981200
108000,208870,880,785,3014000,6680900
109000,259715,850,810,3286000,6517000
110000,159560,1085,830,3375900,8269400
111000,166990,1465,765,3232400,6955100
112000,152625,805,755,2992200,6913700
113000,157105,845,740,3011800,6807900
114000,159055,815,740,3038400,6634000
115000,148570,790,730,2900700,6495300
116000,148275,1425,725,2916700,6582100
117000,152805,1150,780,2907400,6779500
118000,144305,830,735,2925900,6819400
119000,204870,12760,755,2949400,6854500
120000,181865,1170,725,3150400,7264400
121000,147995,850,790,3162900,7285400
122000,182775,880,790,5705000,7308700
123000,150940,835,730,3473200,7551800
124000,158140,800,730,3043800,7840300
125000,165965,830,725,2913100,7627100
126000,170475,2165,1375,2924800,7200300
127000,155020,810,755,2964100,7282900
128000,160825,845,725,3110800,7232000
129000,170325,1115,790,3068400,7346100
130000,164430,770,760,3017800,7602700
131000,182530,815,735,3055700,8130600
132000,170075,825,760,3083600,7699200
133000,172230,800,755,3081800,7664100
134000,159950,830,735,3106300,7891600
135000,167555,835,765,3126200,8066400
136000,179365,1160,1045,3143900,7716400
137000,172495,840,715,3143600,7769800
138000,172855,845,760,3187100,7928500
139000,197010,1015,800,4560800,8866300
140000,266290,1785,1475,3302500,8420200
141000,189220,870,750,4814200,10125300
142000,179510,850,795,3421700,8750300
143000,200315,805,760,3234700,8467500
144000,182415,780,735,3250600,8438900
145000,170555,855,745,3290500,8294300
146000,180240,825,770,3291700,8465600
147000,184570,840,760,3308800,8595300
148000,183845,840,805,3320000,8604900
149000,187885,840,710,3348900,8644800
150000,197210,930,755,3357900,8694900
151000,165140,1105,720,3404400,8957100
152000,185470,830,735,3386000,8941400
153000,188015,825,760,3402800,9168000
154000,197425,1105,770,3421400,9080100
155000,221340,855,745,5723300,9188100
156000,231530,830,760,3574900,9173800
157000,291570,890,770,4153900,9940700
158000,215350,805,745,3694200,10577200
159000,202585,830,775,3501200,9338200
160000,218385,970,825,3515200,9762700
161000,213520,880,790,3614800,9589800
162000,206145,870,785,3560900,9510200
163000,213130,1120,755,3576400,9593100
164000,180850,870,755,3782900,9542800
165000,219040,890,775,3791000,9587700
166000,249155,900,760,3650400,9558000
167000,199970,1190,735,3670500,9772900
168000,229390,1480,745,3685700,11848000
169000,246480,1955,785,4408400,10388600
170000,199715,860,730,4350100,10690100
171000,221195,860,760,3756400,10130600
172000,226115,840,790,3894900,10177500
173000,239870,850,785,3804100,10125700
174000,233015,890,785,3944900,10138800
175000,214850,850,765,3854300,10284100
176000,231285,880,780,3866500,10467300
177000,227785,870,775,3893100,10638100
178000,241230,870,785,3917700,11384500
179000,241845,895,825,4044600,10534900
180000,213265,855,740,4063700,10493600
181000,221925,825,745,3970400,10765300
182000,274645,910,1110,4006400,10890800
183000,250390,1190,805,6248500,10968200
184000,251670,875,740,4073900,11160400
185000,233165,915,810,4075300,11788800
186000,283390,905,1465,4261000,11121400
187000,235155,825,770,4250200,11867700
188000,243670,875,760,4240400,11361200
189000,230010,895,760,4158900,11380900
190000,291945,895,800,4530900,11163300
191000,249430,850,770,4194800,11240400
192000,240030,855,785,4212700,11580200
193000,285115,1210,780,4484200,11562300
194000,284275,885,795,5422200,11940000
195000,271045,905,810,4472500,12409100
196000,235170,850,775,4461200,11744700
197000,271905,920,835,4743000,11493900
198000,238345,875,760,4354400,11788000
199000,270375,1160,795,4374700,11760700
200000,237145,815,795,4396400,11825300
201000,272080,860,765,4422400,12003600
202000,286650,925,785,4785400,12063000
203000,268065,855,805,4706200,12906400
204000,229980,875,765,4598900,12370800
205000,232260,820,750,4501000,12169300
206000,267000,885,805,4526900,12450800
207000,284340,905,780,4674800,12439300
208000,245145,885,755,4568000,12767500
209000,371205,1000,870,4636400,12700200
210000,288955,850,775,4991100,13159600
211000,286825,1075,795,7303700,12461300
212000,263130,860,765,4902000,13137600
213000,301615,930,795,4934000,12857400
214000,297965,910,830,4695800,12739300
215000,313885,950,780,4841500,12677800
216000,269890,935,795,5748400,14098200
217000,239755,1525,825,4999300,13542600
218000,279860,880,770,5582600,12895800
219000,249135,910,770,4828700,12806300
220000,292860,940,810,5006800,13248000
221000,275555,895,775,4985000,13333700
222000,262845,835,785,4945100,13327100
223000,301880,880,815,4917200,13448700
224000,298370,905,795,5325400,13696700
225000,312515,875,1775,4958100,13505300
226000,295380,885,770,4972600,13580600
227000,296230,1155,715,5094400,13550500
228000,275880,915,805,5352800,13799200
229000,282850,915,770,5203200,13885700
230000,313890,890,810,5167300,13901400
231000,313360,1200,760,5151300,14894600
232000,342065,1245,825,5307000,14309100
233000,280225,1470,795,5119400,14414400
234000,326990,885,805,5358600,13991000
235000,440250,1020,845,5564400,18074900
236000,324930,925,810,5601300,15866800
237000,300505,905,765,5490200,14605500
238000,341755,875,760,5227700,14441900
239000,278980,885,760,7220300,14222900
240000,332485,850,775,5403900,14566200
241000,273990,1195,785,5311000,15228600
242000,275625,1195,765,5314000,14670400
243000,318215,900,785,5484400,14866300
244000,302190,910,770,5443400,14823300
245000,308845,945,795,5469000,16145700
246000,312805,875,825,5638200,14657700
247000,329640,1180,825,5617000,15212600
248000,340070,960,840,5531600,15208800
249000,290325,895,785,6004400,16065000
250000,314040,890,780,5708000,15235900
251000,315330,975,825,5832700,16669100
252000,323775,1245,780,5768000,15449700
253000,348285,975,860,5752500,15560700
254000,380415,945,805,5653700,17906300
255000,335420,960,815,5908700,16253400
256000,311625,875,795,5941800,15459400
257000,343680,960,835,5809000,15698400
258000,360160,940,805,5737900,15682900
259000,331870,905,805,5757700,16072900
260000,331240,910,845,5782800,15786800
261000,310945,945,830,5931100,15983200
262000,338380,920,845,6074400,16045600
263000,311940,900,840,5827900,17180700
264000,359300,935,850,5846800,16016400
265000,368760,945,835,5869700,17417100
266000,328330,980,865,7998700,17272600
267000,339165,955,900,6175100,18136600
268000,382775,985,860,6237600,17284200
269000,442705,945,795,5918700,17832600
270000,333545,860,775,6391300,16635300
271000,392035,1245,790,6803400,19351200
272000,346710,920,800,6855700,17821100
273000,328930,895,850,6069700,16815200
274000,329415,925,790,6053900,16890400
275000,336210,860,740,6075100,17192200
276000,406925,945,825,6104000,16892100
277000,354470,865,770,6113500,16808300
278000,310555,870,815,6437600,16913200
279000,316650,1205,815,6151400,17417200
280000,385340,915,825,6532700,16954600
281000,383990,895,780,6302700,17591400
282000,333130,945,795,6209200,17125700
283000,370700,955,960,6529100,17861800
284000,349235,945,835,6303700,17718300
285000,373290,930,815,8338600,17952100
286000,469570,1070,1665,6353600,19044200
287000,348760,1250,805,7096300,18928100
288000,358690,1185,795,6692500,17639300
289000,351465,1185,830,6473500,17883100
290000,361110,885,745,6535400,17999500
291000,380445,920,850,6516700,17941800
292000,333185,940,825,6471900,17700000
293000,380865,935,795,6552000,18027300
294000,359405,945,795,6594900,18183300
295000,393305,1295,830,6906700,18839000
296000,370565,965,800,6762200,18851100
297000,359505,935,825,6640200,18257300
298000,370100,925,800,6674800,18366200
299000,354740,935,820,6697400,18765800
300000,408690,910,865,6649800,18345900
301000,346150,950,780,6736500,18431100
302000,387890,960,1500,6741400,20425400
303000,424785,1050,810,7488700,20057500
304000,375645,905,850,8633800,18854700
305000,390485,915,825,6729300,19303800
306000,350935,950,775,6727800,19405900
307000,380415,940,845,6756300,19309000
308000,418195,1090,865,6890900,19645100
309000,593185,1675,1680,8709300,23793100
310000,476605,1110,870,8765300,21899900
311000,581230,1240,1865,8302100,23482100
312000,486280,1455,895,7912500,20931000
313000,640930,1325,1035,8244300,23970100
314000,816995,2150,1405,8406100,50103800
315000,1106510,1130,890,8917900,37646000
